(1, 2, 6, 8, 9), ['P', 'D', 'D', 'P', 'P'] 
(1, 2, 6, 9, 8), ['P', 'D', 'D', 'P', 'P'] 
(1, 2, 8, 6, 9), ['P', 'D', 'D', 'P', 'P'] 
(1, 2, 8, 9, 6), ['P', 'D', 'D', 'P', 'P'] 
(1, 2, 9, 6, 8), ['P', 'D', 'D', 'P', 'P'] 
(1, 2, 9, 8, 6), ['P', 'D', 'D', 'P', 'P'] 
(1, 3, 4, 6, 7), ['P', 'D', 'D', 'P', 'P'] 
(1, 3, 4, 7, 6), ['P', 'D', 'D', 'P', 'P'] 
(1, 3, 6, 4, 7), ['P', 'D', 'D', 'P', 'P'] 
(1, 3, 6, 7, 4), ['P', 'D', 'D', 'P', 'P'] 
(1, 3, 6, 7, 9), ['P', 'D', 'D', 'P', 'P'] 
(1, 3, 6, 9, 7), ['P', 'D', 'D', 'P', 'P'] 
(1, 3, 7, 4, 6), ['P', 'D', 'D', 'P', 'P'] 
(1, 3, 7, 6, 4), ['P', 'D', 'D', 'P', 'P'] 
(1, 3, 7, 6, 9), ['P', 'D', 'D', 'P', 'P'] 
(1, 3, 7, 9, 6), ['P', 'D', 'D', 'P', 'P'] 
(1, 3, 9, 6, 7), ['P', 'D', 'D', 'P', 'P'] 
(1, 3, 9, 7, 6), ['P', 'D', 'D', 'P', 'P'] 
(1, 4, 2, 3, 6), ['P', 'D', 'D', 'P', 'P'] 
(1, 4, 2, 6, 3), ['P', 'D', 'D', 'P', 'P'] 
(1, 4, 3, 2, 6), ['P', 'D', 'D', 'P', 'P'] 
(1, 4, 3, 6, 2), ['P', 'D', 'D', 'P', 'P'] 
(1, 4, 3, 6, 7), ['P', 'D', 'D', 'P', 'P'] 
(1, 4, 3, 7, 6), ['P', 'D', 'D', 'P', 'P'] 
(1, 4, 5, 6, 8), ['P', 'D', 'D', 'P', 'P'] 
(1, 4, 5, 8, 6), ['P', 'D', 'D', 'P', 'P'] 
(1, 4, 6, 2, 3), ['P', 'D', 'D', 'P', 'P'] 
(1, 4, 6, 3, 2), ['P', 'D', 'D', 'P', 'P'] 
(1, 4, 6, 3, 7), ['P', 'D', 'D', 'P', 'P'] 
(1, 4, 6, 5, 8), ['P', 'D', 'D', 'P', 'P'] 
(1, 4, 6, 7, 3), ['P', 'D', 'D', 'P', 'P'] 
(1, 4, 6, 8, 5), ['P', 'D', 'D', 'P', 'P'] 
(1, 4, 7, 3, 6), ['P', 'D', 'D', 'P', 'P'] 
(1, 4, 7, 6, 3), ['P', 'D', 'D', 'P', 'P'] 
(1, 4, 8, 5, 6), ['P', 'D', 'D', 'P', 'P'] 
(1, 4, 8, 6, 5), ['P', 'D', 'D', 'P', 'P'] 
(1, 5, 2, 3, 6), ['P', 'D', 'D', 'P', 'P'] 
(1, 5, 2, 6, 3), ['P', 'D', 'D', 'P', 'P'] 
(1, 5, 3, 2, 6), ['P', 'D', 'D', 'P', 'P'] 
(1, 5, 3, 6, 2), ['P', 'D', 'D', 'P', 'P'] 
(1, 5, 3, 6, 7), ['P', 'D', 'D', 'P', 'P'] 
(1, 5, 3, 7, 6), ['P', 'D', 'D', 'P', 'P'] 
(1, 5, 6, 2, 3), ['P', 'D', 'D', 'P', 'P'] 
(1, 5, 6, 3, 2), ['P', 'D', 'D', 'P', 'P'] 
(1, 5, 6, 3, 7), ['P', 'D', 'D', 'P', 'P'] 
(1, 5, 6, 7, 3), ['P', 'D', 'D', 'P', 'P'] 
(1, 5, 7, 3, 6), ['P', 'D', 'D', 'P', 'P'] 
(1, 5, 7, 6, 3), ['P', 'D', 'D', 'P', 'P'] 
(1, 6, 3, 5, 7), ['P', 'D', 'D', 'P', 'P'] 
(1, 6, 3, 7, 5), ['P', 'D', 'D', 'P', 'P'] 
(1, 6, 5, 3, 7), ['P', 'D', 'D', 'P', 'P'] 
(1, 6, 5, 7, 3), ['P', 'D', 'D', 'P', 'P'] 
(1, 6, 7, 3, 5), ['P', 'D', 'D', 'P', 'P'] 
(1, 6, 7, 5, 3), ['P', 'D', 'D', 'P', 'P'] 
(1, 8, 3, 4, 6), ['P', 'D', 'D', 'P', 'P'] 
(1, 8, 3, 6, 4), ['P', 'D', 'D', 'P', 'P'] 
(1, 8, 4, 3, 6), ['P', 'D', 'D', 'P', 'P'] 
(1, 8, 4, 6, 3), ['P', 'D', 'D', 'P', 'P'] 
(1, 8, 6, 3, 4), ['P', 'D', 'D', 'P', 'P'] 
(1, 8, 6, 4, 3), ['P', 'D', 'D', 'P', 'P'] 
(2, 0, 1, 3, 5), ['P', 'D', 'D', 'P', 'P'] 
(2, 0, 1, 5, 3), ['P', 'D', 'D', 'P', 'P'] 
(2, 0, 3, 1, 5), ['P', 'D', 'D', 'P', 'P'] 
(2, 0, 3, 5, 1), ['P', 'D', 'D', 'P', 'P'] 
(2, 0, 5, 1, 3), ['P', 'D', 'D', 'P', 'P'] 
(2, 0, 5, 3, 1), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 3, 5, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 3, 6, 7), ['P', 'D', 'D', 'P', 'P'] 
(2, 1, 3, 7, 5), ['P', 'D', 'D', 'P', 'P'] 
