(6, 7, 8, 11, 13) ['P', 'P', 'P', 'D', 'D'] 
(8, 9, 10, 12, 14) ['P', 'P', 'P', 'D', 'D'] 
(8, 9, 10, 13, 14) ['P', 'P', 'P', 'D', 'D'] 
(0, 3, 1, 5, 6) ['P', 'D', 'D', 'S', 'P'] 
(0, 4, 2, 6, 7) ['P', 'D', 'D', 'S', 'P'] 
(2, 4, 1, 6, 7) ['P', 'D', 'D', 'S', 'P'] 
(2, 8, 4, 9, 10) ['P', 'D', 'D', 'S', 'P'] 
(3, 2, 8, 4, 5) ['P', 'D', 'D', 'S', 'P'] 
(3, 7, 6, 9, 10) ['P', 'D', 'D', 'S', 'P'] 
(3, 7, 8, 9, 10) ['P', 'D', 'D', 'S', 'P'] 
(4, 3, 9, 5, 6) ['P', 'D', 'D', 'S', 'P'] 
(4, 7, 5, 9, 10) ['P', 'D', 'D', 'S', 'P'] 
(4, 10, 7, 11, 12) ['P', 'D', 'D', 'S', 'P'] 
(4, 10, 8, 11, 12) ['P', 'D', 'D', 'S', 'P'] 
(5, 6, 2, 8, 9) ['P', 'D', 'D', 'S', 'P'] 
(5, 6, 10, 8, 9) ['P', 'D', 'D', 'S', 'P'] 
(5, 10, 9, 11, 12) ['P', 'D', 'D', 'S', 'P'] 
(6, 8, 5, 10, 11) ['P', 'D', 'D', 'S', 'P'] 
(6, 10, 7, 12, 13) ['P', 'D', 'D', 'S', 'P'] 
(7, 10, 9, 12, 13) ['P', 'D', 'D', 'S', 'P'] 
(7, 12, 10, 13, 14) ['P', 'D', 'D', 'S', 'P'] 
(9, 5, 11, 7, 8) ['P', 'D', 'D', 'S', 'P'] 
(0, 4, 5, 3, 7) ['P', 'D', 'P', 'D', 'S'] 
(2, 3, 4, 8, 6) ['P', 'D', 'P', 'D', 'S'] 
(2, 5, 6, 9, 8) ['P', 'D', 'P', 'D', 'S'] 
(3, 6, 7, 10, 9) ['P', 'D', 'P', 'D', 'S'] 
(3, 9, 10, 7, 11) ['P', 'D', 'P', 'D', 'S'] 
(4, 2, 3, 8, 5) ['P', 'D', 'P', 'D', 'S'] 
(4, 7, 8, 11, 10) ['P', 'D', 'P', 'D', 'S'] 
(5, 8, 9, 11, 10) ['P', 'D', 'P', 'D', 'S'] 
(6, 10, 11, 8, 13) ['P', 'D', 'P', 'D', 'S'] 
(7, 10, 11, 8, 13) ['P', 'D', 'P', 'D', 'S'] 
(8, 9, 10, 13, 12) ['P', 'D', 'P', 'D', 'S'] 
(8, 11, 12, 10, 14) ['P', 'D', 'P', 'D', 'S'] 
(8, 11, 12, 13, 14) ['P', 'D', 'P', 'D', 'S'] 
(9, 10, 11, 14, 13) ['P', 'D', 'P', 'D', 'S'] 
